open hourlylog at Fri Aug 26 04:00:09 2016
BR   13615, BW   40845, S  10, BR/S    1361, BW/S    4084
BR   13785, BW   41355, S  10, BR/S    1378, BW/S    4135
BR   14030, BW   42090, S  10, BR/S    1403, BW/S    4209
BR   14077, BW   41535, S  10, BR/S    1407, BW/S    4153
BR    9982, BW   29946, S  10, BR/S     998, BW/S    2994
BR    5395, BW   16185, S  10, BR/S     539, BW/S    1618
BR    5421, BW   16263, S  10, BR/S     542, BW/S    1626
BR    5213, BW   15639, S  10, BR/S     521, BW/S    1563
BR    4543, BW   13629, S  10, BR/S     454, BW/S    1362
BR    5024, BW   15072, S  10, BR/S     502, BW/S    1507
BR    5079, BW   15237, S  10, BR/S     507, BW/S    1523
BR    4728, BW   12659, S  10, BR/S     472, BW/S    1265
BR    1257, BW     585, S  10, BR/S     125, BW/S      58
BR    4376, BW    4199, S  10, BR/S     437, BW/S     419
BR       0, BW       0, S  10, BR/S       0, BW/S       0
BR     230, BW     216, S  10, BR/S      23, BW/S      21
BR     236, BW     406, S  10, BR/S      23, BW/S      40
BR    6370, BW    6370, S  10, BR/S     637, BW/S     637
BR    6195, BW    6195, S  10, BR/S     619, BW/S     619
BR    7750, BW    7750, S  10, BR/S     775, BW/S     775
BR   15410, BW   15410, S  10, BR/S    1541, BW/S    1541
BR    4670, BW    4670, S  10, BR/S     467, BW/S     467
BR    3010, BW      83, S  10, BR/S     301, BW/S       8
BR    3010, BW       0, S  10, BR/S     301, BW/S       0
BR    3015, BW       0, S  10, BR/S     301, BW/S       0
BR    3010, BW       0, S  10, BR/S     301, BW/S       0
BR    3068, BW       0, S  10, BR/S     306, BW/S       0
BR    3005, BW       0, S  10, BR/S     300, BW/S       0
BR    2530, BW       0, S  10, BR/S     253, BW/S       0
BR     212, BW     382, S  10, BR/S      21, BW/S      38
BR    5504, BW    5504, S  10, BR/S     550, BW/S     550
BR    6085, BW    6085, S  10, BR/S     608, BW/S     608
BR   13690, BW   13333, S  10, BR/S    1369, BW/S    1333
BR       0, BW       0, S  10, BR/S       0, BW/S       0
BR       0, BW       0, S  10, BR/S       0, BW/S       0
BR    4721, BW    4891, S  10, BR/S     472, BW/S     489
BR    6030, BW    6030, S  10, BR/S     603, BW/S     603
BR    6035, BW    6035, S  10, BR/S     603, BW/S     603
BR    6055, BW    6055, S  10, BR/S     605, BW/S     605
BR    6030, BW    6030, S  10, BR/S     603, BW/S     603
BR    6030, BW    6030, S  10, BR/S     603, BW/S     603
BR    6040, BW    6040, S  10, BR/S     604, BW/S     604
BR    6045, BW    6045, S  10, BR/S     604, BW/S     604
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6045, BW    6045, S  10, BR/S     604, BW/S     604
BR    6113, BW    6055, S  10, BR/S     611, BW/S     605
BR    6200, BW    6142, S  10, BR/S     620, BW/S     614
BR    6070, BW    6070, S  10, BR/S     607, BW/Sappend hourlylog at Fri Aug 26 04:34:58 2016
close hourlylog at Fri Aug 26 04:35:00 2016
     607
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6040, BW    6040, S  10, BR/S     604, BW/S     604
BR    6045, BW    6045, S  10, BR/S     604, BW/S     604
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6030, BW    6030, S  10, BR/S     603, BW/S     603
BR    6015, BW    6015, S  10, BR/S     601, BW/S     601
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6035, BW    6035, S  10, BR/S     603, BW/S     603
BR    6050, BW    6050, S  10, BR/S     605, BW/S     605
BR    6115, BW    6115, S  10, BR/S     611, BW/S     611
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6103, BW    6045, S  10, BR/S     610, BW/S     604
BR    6110, BW    6110, S  10, BR/S     611, BW/S     611
BR    6035, BW    6035, S  10, BR/S     603, BW/S     603
BR    6108, BW    6050, S  10, BR/S     610, BW/S     605
BR    6180, BW    6180, S  10, BR/S     618, BW/S     618
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6045, BW    6045, S  10, BR/S     604, BW/S     604
BR    6030, BW    6030, S  10, BR/S     603, BW/S     603
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6035, BW    6035, S  10, BR/S     603, BW/S     603
BR    6050, BW    6050, S  10, BR/S     605, BW/S     605
BR    6025, BW    6025, S  10, BR/S     602, BW/S     602
BR    6020, BW    6020, S  10, BR/S     602, BW/S     602
BR    6030, BW    6030, S  10, BR/S     603, BW/S     603
BR    6040, BW    6040, S  10, BR/S     604, BW/S     604
